Platz,PAK,SNR,Name,Vorname,Verein,AK,Zeit,Schwimmen,Rad,Laufen,Details
290,69,561,Theile,Christian,Leipzig,AK 40,02:45:36,00:28:02,01:22:26,00:48:06,Details
291,36,449,Ohse,Martin,Röthaer Räuber,AK 30,02:45:38,00:29:06,01:15:13,00:56:14,Details
292,37,598,Heidrich,Dario,Chemnitz,AK 30,02:45:46,00:32:03,01:22:32,00:44:53,Details
293,52,481,Scholz,Micha,Leipzig,AK 35,02:45:50,00:34:14,01:10:58,00:53:04,Details
294,38,488,Franz,Robert,Dabei ist alles !!,AK 30,02:45:56,00:38:17,01:12:30,00:50:42,Details
295,26,348,Kleszczewski,Jakub,Erkner,AK 25,02:46:03,00:36:15,01:15:10,00:48:18,Details
296,53,646,Boy,Frank,F.C. Hansa Rostock,AK 35,02:46:07,00:31:51,01:12:49,00:56:06,Details
297,29,250,Seidel,Torsten,SV Neptun 08 Finsterwalde,AK 50,02:46:28,00:32:34,01:18:33,00:50:53,Details
298,33,180,Krause,Torben,DLRG Luckenwalde,AK 45,02:46:34,00:37:12,01:13:17,00:49:38,Details
299,70,397,Dietze,André,Power & Pace,AK 40,02:46:39,00:28:56,01:18:45,00:52:06,Details
300,30,649,Spröte,Jens,Leipzig,AK 50,02:46:44,00:32:42,01:18:18,00:49:07,Details
301,39,678,Borchard,Janes,Squadra Veloce,AK 30,02:46:45,00:34:08,01:12:44,00:53:44,Details
302,29,799,Steikert,Holger,Leipzig,AK 55,02:46:53,00:31:46,01:19:49,00:50:23,Details
303,54,683,Vierheilig,Alexander,Leipzig,AK 35,02:46:56,00:30:43,01:18:24,00:50:15,Details
304,27,786,Wiltzsch,Luis,Northwave,AK 25,02:46:58,00:34:08,01:17:53,00:49:06,Details
305,71,608,Bartels,Ricardo,Berlin H3,AK 40,02:47:02,00:34:28,01:12:55,00:53:41,Details
306,30,492,Kuchinke,Christoph,Eishockey Club Hell oder Dunkel Berlin 99 e. V.,AK 55,02:47:05,00:28:17,01:19:30,00:51:20,Details
307,31,585,Müller,Andreas,Verein für Ausdauersport endLOS Dresden e. V.,AK 50,02:47:09,00:30:30,01:14:19,00:57:20,Details
308,72,97,Straach,Stefan,Radteam Neu-Isenburg,AK 40,02:47:14,00:34:47,01:12:47,00:55:37,Details
309,34,651,Esche,Marko,Starke Leistung,AK 45,02:47:23,00:32:33,01:12:09,00:56:56,Details
