Platz,PAK,SNR,Name,Vorname,Verein,AK,Zeit,Schwimmen,Rad,Laufen,Details
470,88,134,Drescher,Lars,Team Erdinger Alkoholfrei/TV Dresden e. V.,AK 35,03:10:43,00:35:13,01:25:58,01:03:07,Details
471,50,162,Zänker,Jürgen,SSV Eisleben,AK 55,03:10:44,00:36:40,01:20:50,01:06:12,Details
472,58,797,Siebert,Oliver,Leipzig,AK 30,03:11:09,00:32:34,01:28:32,00:59:42,Details
473,18,713,Ortlieb,Jakob,Halle (Saale),AK 20,03:11:20,00:33:52,01:29:09,00:59:49,Details
474,89,655,Keppner,Tobias,SG Birkungen,AK 35,03:11:27,00:35:09,01:36:03,00:55:26,Details
475,49,388,Großer-Koch,Norman,PSV Leipzig e. V.,AK 45,03:11:34,00:33:55,01:23:47,01:05:04,Details
476,90,426,Remler,Martin,Stahlrenner,AK 35,03:12:00,00:34:20,01:27:56,01:02:58,Details
477,23,612,Neumann,Michael,Kabelsketal,AK 60,03:12:07,00:31:22,01:24:47,01:07:29,Details
478,51,398,Scharr,Sven,Leipzig,AK 55,03:12:14,00:31:08,01:15:31,01:15:06,Details
479,91,546,Jäckle,David,Team Frutti,AK 35,03:12:54,00:31:40,01:30:43,00:59:44,Details
480,97,425,Zeuner,Steffen,Leipziger Mountainbiker,AK 40,03:13:10,00:48:01,01:14:23,01:02:55,Details
481,24,539,Westpfahl,Rainer,SV Wasserfreunde Brandenburg,AK 60,03:14:05,00:46:41,01:14:37,01:06:17,Details
482,2,198,Winkler,Thomas,DLRG Luckenwalde,AK 65,03:14:08,00:33:53,01:32:08,00:58:34,Details
483,3,748,Griese,Püppi,Schorndorf,AK 65,03:14:17,00:35:02,01:26:43,01:05:35,Details
484,50,528,Bager,Jan,Leipzig,AK 45,03:14:26,00:41:00,01:18:04,01:07:15,Details
485,92,753,Wehlitz,Robert,Leipzig,AK 35,03:14:39,00:37:04,01:26:07,01:04:37,Details
486,51,47,Dahms,Christian,SC DHfK Leipzig e. V.,AK 45,03:15:12,00:31:02,01:26:08,01:11:23,Details
487,52,351,Güssmer,Stefan,Fantiröh Leipzig,AK 45,03:15:31,00:46:52,01:26:53,00:53:40,Details
488,93,113,Dickert,Philipp,Chemnitz,AK 35,03:15:54,00:39:21,01:22:03,01:06:19,Details
489,53,618,Hempel,Mirek,Leipzig,AK 45,03:16:09,00:34:36,01:24:10,01:09:33,Details
490,4,41,Breuer,Andreas,LC Auensee Leipzig e. V.,AK 65,03:16:25,00:39:01,01:33:27,00:58:42,Details
491,52,506,Rudolph,Matthias,Chemnitz,AK 55,03:16:56,00:38:37,01:28:06,01:03:40,Details
492,53,535,Hoffmann,Frank,HallzigExpress,AK 55,03:17:02,00:44:31,01:23:53,01:02:30,Details
493,94,732,Martins,Eric,Leipzig,AK 35,03:17:12,00:34:19,01:28:47,01:06:01,Details
494,42,594,Henze,Paul,Halle (Saale),AK 25,03:17:42,00:38:57,01:20:58,01:09:27,Details
495,25,615,Schreiner,Mario,LSV Störmthal,AK 60,03:19:44,00:35:50,01:28:29,01:09:13,Details
496,1,728,Schicht,Herbert,Leipzig,AK 70,03:20:51,00:54:22,01:20:03,00:58:06,Details
497,2,118,Fichter,Dieter,KCR Sindlingen Triathlon,AK 70,03:21:11,00:30:37,01:34:19,01:07:36,Details
498,26,175,Nieber,Fred,SC DHfK Leipzig e. V.,AK 60,03:21:34,00:31:44,01:27:03,01:14:17,Details
499,98,380,Zink,Michael,Actemium Energy Projects - Leipzig,AK 40,03:21:37,00:33:36,01:33:10,01:08:35,Details
500,27,337,Schmidt,Olaf,Judoclub Leipzig,AK 60,03:21:53,00:33:49,01:29:33,01:07:32,Details
501,43,769,Thieme,Lars,Familie LinThi,AK 25,03:22:05,00:37:26,01:25:14,01:09:10,Details
502,95,534,Vater,Benjamin,Bambi,AK 35,03:22:24,00:38:19,01:32:33,01:04:49,Details
503,59,441,Rienäcker,Danny,Wasserballett feuchte Nixen,AK 30,03:22:44,00:43:08,01:33:56,00:59:00,Details
504,99,431,Benschu,Jörg,Muldental-Triathlon e. V.,AK 40,03:23:12,00:40:27,01:20:20,01:14:26,Details
505,51,227,Grau,Henrik,Team Klinikum Nürnberg,AK 50,03:26:18,00:33:15,01:27:49,01:10:17,Details
506,54,409,Krenkel,Marco,Leipzig,AK 45,03:26:23,00:38:55,01:19:10,01:18:13,Details
507,28,730,Lips,Sylvio,Leipzig,AK 60,03:27:07,00:38:36,01:29:53,01:09:56,Details
508,55,402,Arns,Werner,Haltern am See,AK 45,03:27:37,00:38:54,01:28:46,01:08:35,Details
509,56,752,Müller,Ralph,Irxleben,AK 45,03:28:01,00:39:52,01:29:56,01:11:45,Details
510,54,725,Kipping,Jörg,SV Lok Altenburg,AK 55,03:28:22,00:48:55,01:30:05,01:02:22,Details
511,44,745,Schwarz,Jan,Leipzig,AK 25,03:29:23,00:47:27,01:27:23,01:03:59,Details
512,55,511,Gerhardt,Frank,Leipzig,AK 55,03:30:35,00:48:02,01:26:55,01:09:17,Details
513,29,697,Heiner,Peter,TC Mia,AK 60,03:32:30,00:40:27,01:31:20,01:11:51,Details
514,52,405,Lauer,Udo,Postschwimmverein Leipzig,AK 50,03:35:33,00:33:44,01:52:58,01:02:21,Details
515,96,474,Pecnik,Sasa,,AK 35,03:36:35,00:34:31,01:42:08,01:12:00,Details
516,30,477,Klein,Volker,WERTESTARTER,AK 60,03:36:55,00:40:12,01:34:55,01:13:48,Details
517,100,394,Rothkegel,Stefan,Lutherstadt Eisleben,AK 40,03:37:49,00:44:14,01:31:54,01:12:58,Details
518,19,783,Bausenwein,Felix,Leipzig,AK 20,03:44:08,01:02:32,01:29:08,01:05:25,Details
519,97,663,Klepel,André,Leipzig - Südwest,AK 35,03:47:55,00:34:50,01:30:51,01:31:26,Details
520,57,296,Wendt,Enrico,Auslaufmodelle.TV e. V.,AK 45,03:51:45,00:47:24,01:41:54,01:12:08,Details
521,101,483,Folk,Matthias,Leipzig,AK 40,04:03:32,00:44:24,01:49:13,01:22:47,Details
522,5,625,Wiechen,Jochen,Berlin,AK 65,04:08:14,00:43:40,01:41:06,01:27:21,Details
DNF,DNF,27,Kahmann,Glenn,Leipziger Triathlon e. V.,AK 60,00:00:00,00:26:08,01:12:25,00:00:00,Details
DNF,DNF,94,Dressel-Putz,Philipp,SC Plauen 06,AK 25,00:00:00,00:18:42,00:00:00,00:00:00,Details
DNF,DNF,201,Popke,Jörg,DLRG Luckenwalde,AK 65,00:00:00,00:00:00,00:00:00,00:00:00,Details
DSQ,DSQ,222,Keitz,Ralf,Leipziger Triathlon e. V.,AK 70,00:00:00,00:44:17,01:43:18,01:10:16,Details
DNF,DNF,259,Mai,Danilo,SG Adelsberg,AK 30,00:00:00,00:25:03,00:00:00,00:00:00,Details
DNF,DNF,314,Daschkeit,Achim,Leipzig,AK 60,00:00:00,01:03:02,01:32:51,00:00:00,Details
DNF,DNF,349,Wetzig,Martin,Wurzen,AK 25,00:00:00,00:28:23,01:08:02,00:00:00,Details
DNF,DNF,364,Friedrich,Marco,BAUTZEN,AK 45,00:00:00,00:29:59,00:00:00,00:00:00,Details
DNF,DNF,374,Vettermann,Marcus,RSG Muldental Grimma e. V.,AK 35,00:00:00,00:31:16,01:12:04,00:00:00,Details
DSQ,DSQ,423,Vogt,Andreas,Stahlrenner,AK 45,00:00:00,00:44:42,01:06:09,00:58:20,Details
DNF,DNF,553,Köthen,Jens,Just4Fun,AK 55,00:00:00,00:00:00,00:00:00,00:00:00,Details
DNF,DNF,659,Hergett,Frank,Franz Morish,AK 40,00:00:00,00:33:49,01:12:05,00:00:00,Details
DNF,DNF,720,Le Vo Nam,Anh,Braunschweig,AK 25,00:00:00,00:00:00,00:00:00,00:00:00,Details
